2024-02-04 21:06:05,761:36179659
2024-02-04 21:06:06,775:64693078
2024-02-04 21:06:07,790:33577324
2024-02-04 21:06:08,803:45522497
2024-02-04 21:06:09,818:65992950
2024-02-04 21:06:10,818:10273552
2024-02-04 21:06:11,832:75949453
2024-02-04 21:06:12,848:71082279
2024-02-04 21:06:13,863:58119597
2024-02-04 21:06:14,863:13349341
2024-02-04 21:06:15,866:91701609
2024-02-04 21:06:16,879:54300247
2024-02-04 21:06:17,893:84263753
2024-02-04 21:06:18,893:49385574
2024-02-04 21:06:19,894:33925137
2024-02-04 21:06:20,908:97667043
2024-02-04 21:06:21,924:67216646
2024-02-04 21:06:22,939:66640295
2024-02-04 21:06:23,939:14054797
2024-02-04 21:06:24,940:71707700
2024-02-04 21:06:25,951:76061009
2024-02-04 21:06:26,964:74475821
2024-02-04 21:06:27,969:19832222
2024-02-04 21:06:28,969:27007814
2024-02-04 21:06:29,981:88346849
2024-02-04 21:06:30,996:53541401
2024-02-04 21:06:32,009:73626210
2024-02-04 21:06:33,023:82466607
2024-02-04 21:06:34,034:52003744
2024-02-04 21:06:35,047:47935073
2024-02-04 21:06:36,061:22049842
2024-02-04 21:06:37,075:33900273
2024-02-04 21:06:38,091:60914901
2024-02-04 21:06:39,094:24545634
2024-02-04 21:06:40,098:59072859
2024-02-04 21:06:41,102:61156814
2024-02-04 21:06:42,102:31931789
2024-02-04 21:06:43,104:98898043
2024-02-04 21:06:44,107:79333729
2024-02-04 21:06:45,110:61199475
2024-02-04 21:06:46,124:41998063
2024-02-04 21:06:47,127:69694446
2024-02-04 21:06:48,130:72190881
2024-02-04 21:06:49,134:93997908
2024-02-04 21:06:50,144:19543958
2024-02-04 21:06:51,147:14408076
2024-02-04 21:06:52,152:27723936
2024-02-04 21:06:53,156:93750153
2024-02-04 21:06:54,157:68589001
2024-02-04 21:06:55,171:46185520
2024-02-04 21:06:56,175:74970326
2024-02-04 21:06:57,178:53562078
2024-02-04 21:06:58,192:37930711
2024-02-04 21:06:59,193:43591361
2024-02-04 21:07:00,195:83721176
2024-02-04 21:07:01,210:21089177
2024-02-04 21:07:02,211:68560786
2024-02-04 21:07:03,211:76242178
2024-02-04 21:07:04,224:68482104
2024-02-04 21:07:05,239:92585059
2024-02-04 21:07:06,253:57339789
2024-02-04 21:07:07,262:75329304
2024-02-04 21:07:08,264:37806652
2024-02-04 21:07:09,265:98866129
2024-02-04 21:07:10,279:65008755
2024-02-04 21:07:11,291:65138982
2024-02-04 21:07:12,306:55558587
2024-02-04 21:07:13,321:19255961
2024-02-04 21:07:14,329:10790500
2024-02-04 21:07:15,330:50841277
2024-02-04 21:07:16,342:62806531
2024-02-04 21:07:17,356:86403359
2024-02-04 21:07:18,357:45873324
2024-02-04 21:07:19,359:88179445
2024-02-04 21:07:20,362:30059559
2024-02-04 21:07:21,376:40066986
2024-02-04 21:07:22,392:97686144
2024-02-04 21:07:23,405:83471003
2024-02-04 21:07:24,411:44141836
2024-02-04 21:07:25,416:78477990
2024-02-04 21:07:26,432:57658594
2024-02-04 21:07:27,446:33657938
2024-02-04 21:07:28,448:70996193
2024-02-04 21:07:29,448:71767627
2024-02-04 21:07:30,449:37982373
2024-02-04 21:07:31,454:84539913
2024-02-04 21:07:32,455:50378669
2024-02-04 21:07:33,457:54347801
2024-02-04 21:07:34,458:31389428
2024-02-04 21:07:35,471:86743846
2024-02-04 21:07:36,485:33639732
2024-02-04 21:07:37,500:76764606
2024-02-04 21:07:38,504:38953639
2024-02-04 21:07:39,507:55475147
2024-02-04 21:07:40,510:13600432
2024-02-04 21:07:41,512:88147315
2024-02-04 21:07:42,527:78420953
2024-02-04 21:07:43,529:45969774
2024-02-04 21:07:44,533:24589757
2024-02-04 21:07:45,547:47357441
2024-02-04 21:07:46,548:50837629
2024-02-04 21:07:47,551:45315048
2024-02-04 21:07:48,562:40966136
2024-02-04 21:07:49,578:23076951
2024-02-04 21:07:50,593:66754228
2024-02-04 21:07:51,607:60348111
2024-02-04 21:07:52,622:18354782
2024-02-04 21:07:53,636:35729363
2024-02-04 21:07:54,640:44580836
2024-02-04 21:07:55,641:15709606
2024-02-04 21:07:56,643:70067513
2024-02-04 21:07:57,645:52784874
2024-02-04 21:07:58,649:44519497
2024-02-04 21:07:59,650:61529352
2024-02-04 21:08:00,665:49529563
2024-02-04 21:08:01,676:53008531
2024-02-04 21:08:02,691:36962906
2024-02-04 21:08:03,706:37920422
2024-02-04 21:08:04,721:27136412
2024-02-04 21:08:05,736:72597977
2024-02-04 21:08:06,748:76909729
2024-02-04 21:08:07,763:21418241
2024-02-04 21:08:08,776:83961506
2024-02-04 21:08:09,790:90578662
2024-02-04 21:08:10,805:99263669
2024-02-04 21:08:11,821:55133816
2024-02-04 21:08:12,835:60777281
2024-02-04 21:08:13,850:29415600
2024-02-04 21:08:14,863:37193511
2024-02-04 21:08:15,879:41161849
2024-02-04 21:08:16,882:13820846
2024-02-04 21:08:17,891:79595382
2024-02-04 21:08:18,901:38161776
2024-02-04 21:08:19,905:49556995
2024-02-04 21:08:20,920:63656628
2024-02-04 21:08:21,923:22526606
2024-02-04 21:08:22,938:50796234
2024-02-04 21:08:23,952:94606704
2024-02-04 21:08:24,966:16490211
2024-02-04 21:08:25,980:76842328
2024-02-04 21:08:26,992:82436543
2024-02-04 21:08:27,993:41464846
2024-02-04 21:08:29,008:41042399
2024-02-04 21:08:30,021:83912741
2024-02-04 21:08:31,021:76237087
2024-02-04 21:08:32,036:61931670
2024-02-04 21:08:33,051:98059091
2024-02-04 21:08:34,064:15042916
2024-02-04 21:08:35,065:70290715
2024-02-04 21:08:36,076:54011242
2024-02-04 21:08:37,077:18580932
2024-02-04 21:08:38,077:39685238
2024-02-04 21:08:39,088:36320324
2024-02-04 21:08:40,102:84915262
2024-02-04 21:08:41,116:57310744
2024-02-04 21:08:42,131:34588962
